label	query	iteration	elapsed_seconds
columnar-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	1	0.672
columnar-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	2	0.657
columnar-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	3	0.656
columnar-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	4	0.637
columnar-xlarge-s0-bestof5-20260428	01_scan_agg_distinct	5	0.678
columnar-xlarge-s0-bestof5-20260428	02_scan_agg_json	1	0.867
columnar-xlarge-s0-bestof5-20260428	02_scan_agg_json	2	0.898
columnar-xlarge-s0-bestof5-20260428	02_scan_agg_json	3	0.936
columnar-xlarge-s0-bestof5-20260428	02_scan_agg_json	4	0.918
columnar-xlarge-s0-bestof5-20260428	02_scan_agg_json	5	0.968
columnar-xlarge-s0-bestof5-20260428	03_large_in_group_by	1	1.902
columnar-xlarge-s0-bestof5-20260428	03_large_in_group_by	2	1.547
columnar-xlarge-s0-bestof5-20260428	03_large_in_group_by	3	1.736
columnar-xlarge-s0-bestof5-20260428	03_large_in_group_by	4	1.475
columnar-xlarge-s0-bestof5-20260428	03_large_in_group_by	5	1.843
columnar-xlarge-s0-bestof5-20260428	04_wide_topn	1	1.089
columnar-xlarge-s0-bestof5-20260428	04_wide_topn	2	1.072
columnar-xlarge-s0-bestof5-20260428	04_wide_topn	3	1.176
columnar-xlarge-s0-bestof5-20260428	04_wide_topn	4	1.061
columnar-xlarge-s0-bestof5-20260428	04_wide_topn	5	1.016
columnar-xlarge-s0-bestof5-20260428	05_row_number_paging	1	0.867
columnar-xlarge-s0-bestof5-20260428	05_row_number_paging	2	0.849
columnar-xlarge-s0-bestof5-20260428	05_row_number_paging	3	0.747
columnar-xlarge-s0-bestof5-20260428	05_row_number_paging	4	0.816
columnar-xlarge-s0-bestof5-20260428	05_row_number_paging	5	0.828
columnar-xlarge-s0-bestof5-20260428	06_hot_window_agg	1	0.508
columnar-xlarge-s0-bestof5-20260428	06_hot_window_agg	2	0.474
columnar-xlarge-s0-bestof5-20260428	06_hot_window_agg	3	0.461
columnar-xlarge-s0-bestof5-20260428	06_hot_window_agg	4	0.528
columnar-xlarge-s0-bestof5-20260428	06_hot_window_agg	5	0.621
columnar-xlarge-s0-bestof5-20260428	07_hot_window_topn	1	0.876
columnar-xlarge-s0-bestof5-20260428	07_hot_window_topn	2	0.998
columnar-xlarge-s0-bestof5-20260428	07_hot_window_topn	3	1.356
columnar-xlarge-s0-bestof5-20260428	07_hot_window_topn	4	1.284
columnar-xlarge-s0-bestof5-20260428	07_hot_window_topn	5	1.310
columnar-xlarge-s0-bestof5-20260428	08_or_lookup	1	0.976
columnar-xlarge-s0-bestof5-20260428	08_or_lookup	2	0.971
columnar-xlarge-s0-bestof5-20260428	08_or_lookup	3	0.963
columnar-xlarge-s0-bestof5-20260428	08_or_lookup	4	0.972
columnar-xlarge-s0-bestof5-20260428	08_or_lookup	5	0.967
columnar-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	1	0.988
columnar-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	2	0.986
columnar-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	3	0.985
columnar-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	4	0.952
columnar-xlarge-s0-bestof5-20260428	09_pushdown_filter_base	5	0.941
columnar-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	1	1.028
columnar-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	2	1.033
columnar-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	3	1.016
columnar-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	4	1.078
columnar-xlarge-s0-bestof5-20260428	10_pushdown_filter_derived	5	1.091
columnar-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	1	1.241
columnar-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	2	1.002
columnar-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	3	0.948
columnar-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	4	1.096
columnar-xlarge-s0-bestof5-20260428	11_late_materialization_narrow_topn	5	1.085
columnar-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	1	8.157
columnar-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	2	6.671
columnar-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	3	8.209
columnar-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	4	7.413
columnar-xlarge-s0-bestof5-20260428	12_late_materialization_wide_topn	5	5.264
